Section,Beam Mark,Fck,Width_mm,Depth_mm,Moment_kNm,Req_BotBar_Area_mm2
21,2B48-S7-R,25,125,450,32.0,173.0
22,2B48-S8-L,25,125,450,67.0,389.0
23,2B48-S8-M,25,125,450,104.0,716.0
24,2B48-S8-R,25,125,450,68.0,396.0
1,2B49-S1-L,25,125,450,54.0,305.0
2,2B49-S1-M,25,125,450,68.0,419.0
3,2B49-S1-R,25,125,450,37.0,202.0
4,2B49-S2-L,25,125,450,37.0,202.0
5,2B49-S2-M,25,125,450,62.0,376.0
6,2B49-S2-R,25,125,450,62.0,356.0
7,2B49-S3-L,25,125,450,44.0,242.0
8,2B49-S3-M,25,125,450,67.0,387.0
9,2B49-S3-R,25,125,450,34.0,184.0
10,2B49-S4-L,25,125,450,39.0,214.0
11,2B49-S4-M,25,125,450,65.0,376.0
12,2B49-S4-R,25,125,450,40.0,220.0
13,2B49-S5-L,25,125,450,40.0,219.0
14,2B49-S5-M,25,125,450,47.0,260.0
15,2B49-S5-R,25,125,450,30.0,161.0
16,2B49-S6-L,25,125,450,47.0,280.0
17,2B49-S6-M,25,125,450,82.0,536.0
18,2B49-S6-R,25,125,450,51.0,307.0
20,2B49-S7-M,25,125,450,64.0,369.0
21,2B49-S7-R,25,125,450,39.0,214.0
22,2B49-S8-L,25,125,450,38.0,208.0
23,2B49-S8-M,25,125,450,63.0,363.0
24,2B49-S8-R,25,125,450,37.0,202.0
25,2B49-S9-L,25,125,450,37.0,200.0
26,2B49-S9-R,25,125,450,18.0,96.0
1,2B50-S1-L,25,125,450,33.0,178.0
2,2B50-S1-M,25,125,450,53.0,297.0
3,2B50-S1-R,25,125,450,34.0,184.0
4,2B50-S2-L,25,125,450,28.0,151.0
5,2B50-S2-M,25,125,450,40.0,219.0
6,2B50-S2-R,25,125,450,23.0,124.0
7,2B50-S3-L,25,125,450,32.0,172.0
8,2B50-S3-M,25,125,450,50.0,278.0
9,2B50-S3-R,25,125,450,33.0,178.0
10,2B50-S4-L,25,125,450,34.0,184.0
11,2B50-S4-M,25,125,450,52.0,291.0
12,2B50-S4-R,25,125,450,34.0,184.0
13,2B50-S5-L,25,125,450,9.0,79.0
14,2B50-S5-M,25,125,450,31.0,166.0
15,2B50-S5-R,25,125,450,17.0,91.0
16,2B50-S6-L,25,125,450,54.0,303.0
18,2B50-S6-R,25,125,450,54.0,303.0
19,2B50-S7-L,25,125,450,29.0,155.0
21,2B50-S7-R,25,125,450,23.0,123.0
22,2B50-S8-L,25,125,450,22.0,118.0
23,2B50-S8-M,25,125,450,41.0,224.0
24,2B50-S8-R,25,125,450,23.0,124.0
3,2B51-S2-L,25,150,500,43.0,207.0
4,2B51-S2-M,25,150,500,84.0,424.0
5,2B51-S2-R,25,150,500,70.0,347.0
6,2B51-S3-L,25,150,500,30.0,144.0
7,2B51-S3-M,25,150,500,30.0,144.0
8,2B51-S3-R,25,150,500,30.0,144.0
9,2B51-S4-L,25,150,500,33.0,158.0
10,2B51-S4-M,25,150,500,33.0,158.0
11,2B51-S4-R,25,150,500,33.0,158.0
12,2B51-S5-L,25,150,500,45.0,192.0
13,2B51-S5-M,25,150,500,45.0,192.0
